Running with CUDA on GPU 0	
Epoch 1.77 / 25, i = 233 / 7575, loss = 0.396024	
Epoch 1.77 / 25, i = 234 / 7575, loss = 0.393997	
Epoch 1.78 / 25, i = 235 / 7575, loss = 0.398045	
Epoch 1.78 / 25, i = 236 / 7575, loss = 0.396525	
Epoch 1.78 / 25, i = 237 / 7575, loss = 0.398387	
Epoch 1.79 / 25, i = 238 / 7575, loss = 0.391431	
Epoch 1.79 / 25, i = 239 / 7575, loss = 0.389342	
Epoch 1.79 / 25, i = 240 / 7575, loss = 0.395918	
Epoch 1.80 / 25, i = 241 / 7575, loss = 0.390136	
Epoch 1.80 / 25, i = 242 / 7575, loss = 0.390211	
Epoch 1.80 / 25, i = 243 / 7575, loss = 0.391993	
Epoch 1.81 / 25, i = 244 / 7575, loss = 0.389351	
Epoch 1.81 / 25, i = 245 / 7575, loss = 0.393541	
Epoch 1.81 / 25, i = 246 / 7575, loss = 0.389740	
Epoch 1.82 / 25, i = 247 / 7575, loss = 0.384460	
Epoch 1.82 / 25, i = 248 / 7575, loss = 0.390929	
Epoch 1.82 / 25, i = 249 / 7575, loss = 0.390143	
Epoch 1.83 / 25, i = 250 / 7575, loss = 0.389996	
Epoch 1.83 / 25, i = 251 / 7575, loss = 0.385519	
Epoch 1.83 / 25, i = 252 / 7575, loss = 0.382722	
Epoch 1.83 / 25, i = 253 / 7575, loss = 0.382874	
Epoch 1.84 / 25, i = 254 / 7575, loss = 0.384977	
Epoch 1.84 / 25, i = 255 / 7575, loss = 0.382830	
Epoch 1.84 / 25, i = 256 / 7575, loss = 0.378247	
Epoch 1.85 / 25, i = 257 / 7575, loss = 0.379248	
Epoch 1.85 / 25, i = 258 / 7575, loss = 0.377839	
Epoch 1.85 / 25, i = 259 / 7575, loss = 0.374694	
Epoch 1.86 / 25, i = 260 / 7575, loss = 0.373995	
Epoch 1.86 / 25, i = 261 / 7575, loss = 0.374848	
Epoch 1.86 / 25, i = 262 / 7575, loss = 0.371002	
Epoch 1.87 / 25, i = 263 / 7575, loss = 0.371231	
Epoch 1.87 / 25, i = 264 / 7575, loss = 0.364825	
Epoch 1.87 / 25, i = 265 / 7575, loss = 0.367004	
Epoch 1.88 / 25, i = 266 / 7575, loss = 0.369798	
Epoch 1.88 / 25, i = 267 / 7575, loss = 0.381100	
Epoch 1.88 / 25, i = 268 / 7575, loss = 0.374583	
Epoch 1.89 / 25, i = 269 / 7575, loss = 0.375417	
Epoch 1.89 / 25, i = 270 / 7575, loss = 0.374834	
Epoch 1.89 / 25, i = 271 / 7575, loss = 0.373211	
Epoch 1.90 / 25, i = 272 / 7575, loss = 0.367385	
Epoch 1.90 / 25, i = 273 / 7575, loss = 0.373608	
Epoch 1.90 / 25, i = 274 / 7575, loss = 0.366533	
